E- (meV)	EVR84_40K_0.35A-1	E+ (meV)	EVR84_40K_0.35A-1	E- (meV)	EVR84_40K_0.45A-1	E+ (meV)	EVR84_40K_0.45A-1	E- (meV)	EVR84_40K_0.55A-1	E+ (meV)	EVR84_40K_0.55A-1	E- (meV)	EVR84_40K_0.65A-1	E+ (meV)	EVR84_40K_0.65A-1	E- (meV)	EVR84_40K_0.75A-1	E+ (meV)	EVR84_40K_0.75A-1	E- (meV)	EVR84_40K_0.85A-1	E+ (meV)	EVR84_40K_0.85A-1	E- (meV)	EVR84_40K_0.95A-1	E+ (meV)	EVR84_40K_0.95A-1	E- (meV)	EVR84_40K_1.05A-1	E+ (meV)	EVR84_40K_1.05A-1	E- (meV)	EVR84_40K_1.15A-1	E+ (meV)	EVR84_40K_1.15A-1	E- (meV)	EVR84_40K_1.25A-1	E+ (meV)	EVR84_40K_1.25A-1	E- (meV)	EVR84_40K_1.35A-1	E+ (meV)	EVR84_40K_1.35A-1	E- (meV)	EVR84_40K_1.45A-1	E+ (meV)	EVR84_40K_1.45A-1	E- (meV)	EVR84_40K_1.55A-1	E+ (meV)	EVR84_40K_1.55A-1	E- (meV)	EVR84_40K_1.65A-1	E+ (meV)	EVR84_40K_1.65A-1	E- (meV)	EVR84_40K_1.75A-1	E+ (meV)	EVR84_40K_1.75A-1	E- (meV)	EVR84_40K_1.85A-1	E+ (meV)	EVR84_40K_1.85A-1
0.061899965	0.3747654054962681	0.06200004	0.6226117868880428	0.061899965	0.4072771107894369	0.06200004	0.61768399704407	0.061899965	0.40623275274708776	0.06200004	0.8002851784455737	0.061899965	0.3943796037687217	0.06200004	0.6514977570939908	0.061899965	0.4615896379388602	0.06200004	0.6019518297176182	0.061899965	0.38740312377176284	0.06200004	0.5109523991526167	0.061899965	0.3504328786742661	0.06200004	0.5585922129287935	0.061899965	0.42327813581560275	0.06200004	0.42581601477253167	0.061899965	0.5110691187108432	0.06200004	0.6808278287348729	0.061899965	0.49185886928055006	0.06200004	0.6717278375160481	0.061899965	0.5300321259467631	0.06200004	0.5638463585246045	0.061899965	0.5985412916997086	0.06200004	0.6400283475131714	0.061899965	0.6330615551907879	0.06200004	0.6645657078297603	0.061899965	0.7081442369230766	0.06200004	0.6607198902080982	0.061899965	0.8254951896310987	0.06200004	-0.09028327359907569	0.061899965	-0.09195069391545925	0.06200004	-0.09028327359907569
0.067799965	0.4037114792942097	0.06790004	0.6175432194561461	0.067799965	0.421989308865493	0.06790004	0.7148166937607555	0.067799965	0.36545519454691316	0.06790004	0.7350974510484484	0.067799965	0.3598881327169704	0.06790004	0.5122529588834387	0.067799965	0.37474269432668644	0.06790004	0.6752219275158649	0.067799965	0.37940216422750234	0.06790004	0.38605479858584785	0.067799965	0.44288990275327544	0.06790004	0.5066993157326759	0.067799965	0.4191134455084008	0.06790004	0.47681350688439844	0.067799965	0.6083000514169098	0.06790004	0.5389611708802019	0.067799965	0.48448784744986423	0.06790004	0.5332939642148554	0.067799965	0.4517002044085074	0.06790004	0.37943352235709416	0.067799965	0.5372053128585124	0.06790004	0.49649201967142953	0.067799965	0.6014827463517317	0.06790004	0.517045612506274	0.067799965	0.5766011018200288	0.06790004	0.495778558668168	0.067799965	0.8049362013851358	0.06790004	-0.09878149997590241	0.067799965	-0.10081102595907077	0.06790004	-0.09878149997590241
0.073699965	0.46475057452293556	0.07380004	0.4900547600553423	0.073699965	0.34690297501722883	0.07380004	0.6248027337946047	0.073699965	0.3378864931100812	0.07380004	0.5436732422686112	0.073699965	0.41246910018718863	0.07380004	0.5299741034673944	0.073699965	0.3628654309020554	0.07380004	0.5336147188166956	0.073699965	0.3793746083167285	0.07380004	0.36879658619104994	0.073699965	0.39368414899999354	0.07380004	0.5111953696290754	0.073699965	0.41441133478709036	0.07380004	0.44227403023208695	0.073699965	0.595612570277378	0.07380004	0.5151577029123972	0.073699965	0.3431745548412315	0.07380004	0.3872108385788	0.073699965	0.41601323396163825	0.07380004	0.3813748031180224	0.073699965	0.4169698897048233	0.07380004	0.5125691392797368	0.073699965	0.5356450840464084	0.07380004	0.5132264836055408	0.073699965	0.5472728614219733	0.07380004	0.47335552698602273	0.073699965	0.6205166813946495	0.07380004	-0.10726366334163143	0.073699965	-0.1096882126523473	0.07380004	-0.10726366334163143
0.079599965	0.4699959596134398	0.079700041	0.4720520313956799	0.079599965	0.26032568175366677	0.079700041	0.40033952462554473	0.079599965	0.32617920843463905	0.079700041	0.5247479904441498	0.079599965	0.48571181065658225	0.079700041	0.502141974654049	0.079599965	0.36666381571117745	0.079700041	0.5795528086571123	0.079599965	0.38438741784140745	0.079700041	0.46795774860341627	0.079599965	0.2663525532853247	0.079700041	0.515535750041994	0.079599965	0.4027448264519918	0.079700041	0.505066025368388	0.079599965	0.5092060256386948	0.079700041	0.5318830958354626	0.079599965	0.2811523874358454	0.079700041	0.325247059889064	0.079599965	0.41042751539527056	0.079700041	0.31477275395470006	0.079599965	0.3725149479231189	0.079700041	0.47436734888197707	0.079599965	0.4748411979768501	0.079700041	0.38547299597514445	0.079599965	0.4986981500705797	0.079700041	0.448438518813793	0.079599965	0.41986608564179745	0.079700041	-0.11572979868155536	0.079599965	-0.11858229492226945	0.079700041	-0.11572979868155536
0.085499966	0.31080523073282335	0.085600041	0.5660045117962231	0.085499966	0.32940316054420393	0.085600041	0.41267704887381373	0.085499966	0.39265162113769797	0.085600041	0.543165582138109	0.085499966	0.45899990502104554	0.085600041	0.5030555209235037	0.085499966	0.43111752012519117	0.085600041	0.5165826981627978	0.085499966	0.4247598198540173	0.085600041	0.4174740580080056	0.085499966	0.2404007062087733	0.085600041	0.4378450512943369	0.085499966	0.382258928158685	0.085600041	0.5718939516446354	0.085499966	0.4980262350041895	0.085600041	0.5446809146119248	0.085499966	0.437652186562794	0.085600041	0.4329627097362946	0.085499966	0.396845582784019	0.085600041	0.5053293826675914	0.085499966	0.4192360279646727	0.085600041	0.4411420930308512	0.085499966	0.4316128028914869	0.085600041	0.4042887883882409	0.085499966	0.4536466962392044	0.085600041	0.49988220888987595	0.085499966	0.4800900682351604	0.085600041	-0.12417994431028917	0.085499966	-0.12749331747427173	0.085600041	-0.12417994431028917
0.091399966	0.27070852297209247	0.091500041	0.4679445135370693	0.091399966	0.3691615425919029	0.091500041	0.49316229466164985	0.091399966	0.4002212839934543	0.091500041	0.47876835015893743	0.091399966	0.4084049334217589	0.091500041	0.5829452922590949	0.091399966	0.4799137872840187	0.091500041	0.3871816870352828	0.091399966	0.43827577764711856	0.091500041	0.41492900610616573	0.091399966	0.284323145197053	0.091500041	0.4119540986316475	0.091399966	0.33941435346532445	0.091500041	0.5516718697951879	0.091399966	0.45415472834634135	0.091500041	0.532901474469394	0.091399966	0.4710034868731301	0.091500041	0.4711560099429242	0.091399966	0.4308660446914361	0.091500041	0.5961198096112941	0.091399966	0.4120318401209789	0.091500041	0.4440361765983074	0.091399966	0.4301691509605726	0.091500041	0.5233040849771133	0.091399966	0.42201956408849295	0.091500041	0.4683240532732383	0.091399966	0.48674089435544504	0.091500041	-0.13261413665271415	0.091399966	-0.13642129744033346	0.091500041	-0.13261413665271415
0.097299966	0.453240434382004	0.097400041	0.4079224891771853	0.097299966	0.3091211432852738	0.097400041	0.49894433634690233	0.097299966	0.23566431170230717	0.097400041	0.5028255712549977	0.097299966	0.32164676196588887	0.097400041	0.4408174123901523	0.097299966	0.48013523343704034	0.097400041	0.3351418683805461	0.097299966	0.3634916107926043	0.097400041	0.369781369134529	0.097299966	0.3444957936614594	0.097400041	0.3700331566122392	0.097299966	0.33229082647295866	0.097400041	0.37591106289245424	0.097299966	0.393824135631513	0.097400041	0.2626038969775343	0.097299966	0.32849047218396515	0.097400041	0.3950306307038019	0.097299966	0.41985089107217455	0.097400041	0.6107036386113043	0.097299966	0.36591624875559864	0.097400041	0.4345644507796026	0.097299966	0.495189735544706	0.097400041	0.47331465388642996	0.097299966	0.29046658388939706	0.097400041	0.38468813138342733	0.097299966	0.35580892696358973	0.097400041	-0.141032401870007	0.097299966	-0.14536627911543223	0.097400041	-0.141032401870007
0.10319997	0.3200152682351346	0.10330004	0.3435417215978308	0.10319997	0.3002749306275866	0.10330004	0.5231592766438794	0.10319997	0.3440306057938564	0.10330004	0.6330247478589386	0.10319997	0.21387323407389316	0.10330004	0.3648902457620134	0.10319997	0.40896875409536315	0.10330004	0.3650980672512682	0.10319997	0.2377229895727555	0.10330004	0.3748273704199196	0.10319997	0.4702195554867624	0.10330004	0.3257819348930351	0.10319997	0.30203119657675953	0.10330004	0.4126558530039811	0.10319997	0.4419558951926001	0.10330004	0.27733086734137763	0.10319997	0.3278647286534613	0.10330004	0.4509372094626457	0.10319997	0.3026661601417911	0.10330004	0.5731754052947697	0.10319997	0.3063914127592935	0.10330004	0.46099603481503154	0.10319997	0.4872584192097325	0.10330004	0.5059017731269626	0.10319997	0.29612343453665274	0.10330004	0.4787990720600574	0.10319997	0.3899453213074721	0.10330004	-0.14943478108693595	0.10319997	-0.15432831363974675	0.10330004	-0.14943478108693595
0.10909997	0.23748568693846153	0.10920004	0.4399338982726037	0.10909997	0.3243784519124691	0.10920004	0.43103419798495773	0.10909997	0.507555531855916	0.10920004	0.48036991495367165	0.10909997	0.26445997742676125	0.10920004	0.4210917201278078	0.10909997	0.17946422638793147	0.10920004	0.39949747013122944	0.10909997	0.2540479243523891	0.10920004	0.5594883828639098	0.10909997	0.3983380926552316	0.10920004	0.22644734609485478	0.10909997	0.24668104462596524	0.10920004	0.32918005000187395	0.10909997	0.48568128162764107	0.10920004	0.2907393512959807	0.10909997	0.38097261847411923	0.10920004	0.3404725193271961	0.10909997	0.37095341473476684	0.10920004	0.5082374259329588	0.10909997	0.3857047223873504	0.10920004	0.41016962385816547	0.10909997	0.4031207297262514	0.10920004	0.3620710602669684	0.10909997	0.26812073192295705	0.10920004	0.41577401692634924	0.10909997	0.37955587158974374	0.10920004	-0.15782130213110776	0.10909997	-0.16330740593163237	0.10920004	-0.15782130213110776
0.11499997	0.22320275184336758	0.11510004	0.4719462559823911	0.11499997	0.35049428621516165	0.11510004	0.25293637724702583	0.11499997	0.31548652967513807	0.11510004	0.40044203439358733	0.11499997	0.32667932952908757	0.11510004	0.8379837239725562	0.11499997	0.18849975284143913	0.11510004	0.4459996749325028	0.11499997	0.35904787555743717	0.11510004	0.47335763802104475	0.11499997	0.3178401245854317	0.11510004	0.4718016708034811	0.11499997	0.2943486197342219	0.11510004	0.4209409711001561	0.11499997	0.3974112796837223	0.11510004	0.3427795687437785	0.11499997	0.3497800553660196	0.11510004	0.5940653081865649	0.11499997	0.343845234311243	0.11510004	0.36836779232226274	0.11499997	0.3449669560659594	0.11510004	0.4878642237262572	0.11499997	0.32152731349985736	0.11510004	0.424233425506411	0.11499997	0.46196823929475633	0.11510004	0.389816736398178	0.11499997	0.3560172572039429	0.11510004	-0.16619200702981343	0.11499997	-0.17230360671061618	0.11510004	-0.16619200702981343
