E (meV)	EVR84_360K_0.35A-1	err	E (meV)	EVR84_360K_0.45A-1	err	E (meV)	EVR84_360K_0.55A-1	err	E (meV)	EVR84_360K_0.65A-1	err	E (meV)	EVR84_360K_0.75A-1	err	E (meV)	EVR84_360K_0.85A-1	err	E (meV)	EVR84_360K_0.95A-1	err	E (meV)	EVR84_360K_1.05A-1	err	E (meV)	EVR84_360K_1.15A-1	err	E (meV)	EVR84_360K_1.25A-1	err	E (meV)	EVR84_360K_1.35A-1	err	E (meV)	EVR84_360K_1.45A-1	err	E (meV)	EVR84_360K_1.55A-1	err	E (meV)	EVR84_360K_1.65A-1	err	E (meV)	EVR84_360K_1.75A-1	err	E (meV)	EVR84_360K_1.85A-1	err
-0.85839999	-1.1208485	0.55650155	-0.85839999	2.046082	0.73209233	-0.85839999	2.6791026	0.69804368	-0.85839999	2.9972356	0.75317273	-0.85839999	2.6064905	0.82915455	-0.85839999	3.2971106	0.79623288	-0.85839999	2.7923495	0.67290532	-0.85839999	3.929295	0.76980846	-0.85839999	2.3708082	0.76466841	-0.85839999	4.974961	0.98720492	-0.85839999	4.5666217	0.86294679	-0.85839999	5.0413112	0.80899637	-0.85839999	4.3767553	0.79379426	-0.85839999	5.0863258	0.72701294	-0.85839999	5.5993331	0.67182704	-0.85839999	4.6179568	0.63306978
-0.85249999	-1.1207244	0.55643991	-0.85249999	2.3936794	0.75653119	-0.85249999	2.9876274	0.69255734	-0.85249999	3.0849879	0.81083309	-0.85249999	2.2827595	0.75903414	-0.85249999	2.6278222	0.69898607	-0.85249999	3.5322026	0.75798096	-0.85249999	5.0008287	0.84511163	-0.85249999	4.194543	0.8164693	-0.85249999	4.3285753	0.9769321	-0.85249999	4.1513878	0.93603002	-0.85249999	5.3190513	0.83007821	-0.85249999	4.3759614	0.7563519	-0.85249999	5.4790344	0.75041889	-0.85249999	5.8829036	0.72767811	-0.85249999	4.3501532	0.61183442
-0.84659999	-1.1206003	0.55637832	-0.84659999	2.5728086	0.77705316	-0.84659999	3.0684874	0.6840633	-0.84659999	3.1384284	0.83558418	-0.84659999	2.0461299	0.72466795	-0.84659999	2.38112	0.65220378	-0.84659999	3.8592888	0.79445447	-0.84659999	5.497473	0.88146275	-0.84659999	4.9551546	0.83630388	-0.84659999	4.1265395	0.97866732	-0.84659999	4.0555277	0.97804868	-0.84659999	5.3606367	0.83101073	-0.84659999	4.4313913	0.74907638	-0.84659999	5.6567749	0.75953342	-0.84659999	6.0260369	0.75151139	-0.84659999	4.3041191	0.60849191
-0.84069999	-1.1204764	0.55631678	-0.84069999	2.4459119	0.86899609	-0.84069999	2.1081029	0.65586589	-0.84069999	2.7374222	0.78583961	-0.84069999	1.2032669	0.74498826	-0.84069999	2.9959824	0.75911622	-0.84069999	3.7238831	0.80457751	-0.84069999	4.3370364	0.85256029	-0.84069999	3.8574859	0.8343357	-0.84069999	5.727334	1.0609723	-0.84069999	5.2048607	1.0813366	-0.84069999	4.7146977	0.75926001	-0.84069999	4.9652302	0.88363529	-0.84069999	5.5724615	0.7687646	-0.84069999	5.7780916	0.69954253	-0.84069999	5.3701673	0.70977008
-0.83479999	-1.1203525	0.55625528	-0.83479999	2.1536639	0.82250133	-0.83479999	2.1429081	0.6821804	-0.83479999	2.794121	0.74087939	-0.83479999	2.2255456	0.77295236	-0.83479999	3.2791862	0.77193787	-0.83479999	4.503963	0.86835893	-0.83479999	4.0925951	0.82654368	-0.83479999	4.1540313	0.84856527	-0.83479999	5.2526408	1.0202895	-0.83479999	4.8266594	1.0121401	-0.83479999	4.7993385	0.76424869	-0.83479999	5.6064201	0.83798112	-0.83479999	5.5182482	0.75879625	-0.83479999	5.8354944	0.71728664	-0.83479999	4.9217377	0.6641225
-0.82889999	-1.1202288	0.55619384	-0.82889999	1.8310492	0.76545702	-0.82889999	2.1610478	0.71609915	-0.82889999	2.9166488	0.67948382	-0.82889999	3.4589701	0.80823523	-0.82889999	3.6617411	0.78776155	-0.82889999	5.4929281	0.94312154	-0.82889999	3.7519052	0.79224682	-0.82889999	4.5628734	0.86504205	-0.82889999	4.6611675	0.96387011	-0.82889999	4.2479271	0.92050826	-0.82889999	4.9687594	0.77164968	-0.82889999	6.4782061	0.77350992	-0.82889999	5.3991301	0.75015448	-0.82889999	5.9039299	0.73878327	-0.82889999	4.3381623	0.6003063
-0.82299999	-1.1201051	0.55613245	-0.82299999	2.4270246	0.77725703	-0.82299999	2.0007628	0.72637145	-0.82299999	2.1897671	0.61575686	-0.82299999	3.4548241	0.80159458	-0.82299999	3.972886	0.82077599	-0.82299999	4.4712502	0.95966878	-0.82299999	3.9488762	0.80508317	-0.82299999	5.3462076	0.87079118	-0.82299999	5.2862834	1.0832595	-0.82299999	4.4207366	0.99947476	-0.82299999	5.0169974	0.78177725	-0.82299999	5.0255902	0.80373528	-0.82299999	5.9662233	0.7603666	-0.82299999	5.312319	0.64556755	-0.82299999	5.1367412	0.62822461
-0.81709999	-1.1199816	0.5560711	-0.81709999	2.3626248	0.7558532	-0.81709999	2.1182135	0.71957753	-0.81709999	2.3047387	0.64373812	-0.81709999	3.1890058	0.78262406	-0.81709999	4.2022479	0.83687074	-0.81709999	3.7832652	0.92969798	-0.81709999	4.1640249	0.83151363	-0.81709999	5.2723886	0.8642095	-0.81709999	5.4787541	1.1125264	-0.81709999	4.7081136	1.0067716	-0.81709999	5.1678843	0.78978099	-0.81709999	4.8937997	0.80671848	-0.81709999	5.7386372	0.7323935	-0.81709999	5.3883792	0.66159698	-0.81709999	5.2989564	0.64470021
-0.81119999	-1.1198581	0.55600981	-0.81119999	1.8156627	0.69472255	-0.81119999	2.5062443	0.68719616	-0.81119999	3.162739	0.75894692	-0.81119999	2.2950659	0.71672741	-0.81119999	4.8195644	0.87607428	-0.81119999	2.2227294	0.81873945	-0.81119999	4.6919813	0.90121533	-0.81119999	4.6398084	0.84123418	-0.81119999	5.701916	1.1192665	-0.81119999	5.3862254	1.0068793	-0.81119999	5.7047937	0.80799891	-0.81119999	5.3433642	0.79919662	-0.81119999	4.7143555	0.63046033	-0.81119999	5.9388452	0.76340968	-0.81119999	5.321438	0.67749356
-0.80529999	-1.1197348	0.55594857	-0.80529999	1.7701813	0.78690739	-0.80529999	2.2203189	0.68728752	-0.80529999	2.6108641	0.73515185	-0.80529999	2.5243883	0.73307806	-0.80529999	4.0683231	0.79381526	-0.80529999	3.2173903	0.87767349	-0.80529999	3.5971641	0.81147804	-0.80529999	4.1668913	0.81403537	-0.80529999	5.7159444	1.1432558	-0.80529999	4.9688482	0.96574469	-0.80529999	5.7778777	0.86713402	-0.80529999	5.7802025	0.76578394	-0.80529999	5.0457876	0.70800692	-0.80529999	6.3230439	0.79807029	-0.80529999	5.6292751	0.69461446
