E (meV)	D1_butanol_4K_0.098A-1	err	E (meV)	D1_butanol_4K_0.196A-1	err	E (meV)	D1_butanol_4K_0.294A-1	err	E (meV)	D1_butanol_4K_0.399A-1	err	E (meV)	D1_butanol_4K_0.497A-1	err	E (meV)	D1_butanol_4K_0.595A-1	err	E (meV)	D1_butanol_4K_0.693A-1	err	E (meV)	D1_butanol_4K_0.798A-1	err	E (meV)	D1_butanol_4K_0.896A-1	err	E (meV)	D1_butanol_4K_0.994A-1	err	E (meV)	D1_butanol_4K_1.099A-1	err	E (meV)	D1_butanol_4K_1.197A-1	err	E (meV)	D1_butanol_4K_1.295A-1	err	E (meV)	D1_butanol_4K_1.4A-1	err	E (meV)	D1_butanol_4K_1.498A-1	err	E (meV)	D1_butanol_4K_1.596A-1	err	E (meV)	D1_butanol_4K_1.694A-1	err
-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	3.47335e-06	6.9018e-06	-4.785	4.1207e-06	6.0819e-06	-4.785	4.87651e-06	7.113e-06	-4.785	3.81006e-06	8.0524e-06	-4.785	1.94802e-06	7.709e-06	-4.785	-4.57268e-06	7.3807e-06	-4.785	-3.611e-06	8.8925e-06	-4.785	3.24139e-06	9.3253e-06	-4.785	3.68736e-06	8.9311e-06	-4.785	4.46419e-06	8.16e-06	-4.785	3.35255e-06	8.2481e-06
-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	3.99262e-06	7.081e-06	-4.775	5.8663e-06	6.2452e-06	-4.775	5.84972e-06	7.3212e-06	-4.775	6.38329e-06	8.0134e-06	-4.775	6.1832e-06	8.2779e-06	-4.775	-3.72642e-06	7.6038e-06	-4.775	-5.49549e-06	8.1856e-06	-4.775	6.39138e-07	8.9073e-06	-4.775	1.95563e-06	9.4125e-06	-4.775	2.09107e-06	8.8594e-06	-4.775	1.84058e-06	9.1819e-06
-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	-2.4719e-06	1.5327e-05	-4.765	3.26123e-06	9.4035e-06	-4.765	5.33411e-06	7.4067e-06	-4.765	4.33094e-06	7.6076e-06	-4.765	3.02033e-06	7.9612e-06	-4.765	-3.23299e-06	7.7644e-06	-4.765	-4.18691e-06	7.494e-06	-4.765	-9.94668e-07	8.3799e-06	-4.765	-8.1088e-09	9.0134e-06	-4.765	-1.50751e-07	8.7965e-06	-4.765	1.13924e-06	9.4532e-06
-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	1.82179e-06	1.3246e-05	-4.755	5.26413e-06	8.4562e-06	-4.755	5.13193e-06	7.3243e-06	-4.755	3.20169e-06	7.7173e-06	-4.755	2.12303e-06	8.1995e-06	-4.755	-3.68598e-06	8.4622e-06	-4.755	-7.97334e-06	7.6476e-06	-4.755	-5.80553e-06	7.4776e-06	-4.755	-1.54399e-06	7.851e-06	-4.755	-1.15877e-07	8.5554e-06	-4.755	3.0514e-06	9.9303e-06
-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	3.08047e-06	1.1501e-05	-4.745	7.51618e-06	7.9548e-06	-4.745	5.18349e-06	6.7779e-06	-4.745	2.97717e-06	7.2445e-06	-4.745	4.52081e-06	8.4451e-06	-4.745	-1.99004e-06	8.3369e-06	-4.745	-8.27586e-06	7.5972e-06	-4.745	-7.05653e-06	6.9713e-06	-4.745	-1.54264e-06	7.0007e-06	-4.745	1.87113e-06	8.3956e-06	-4.745	3.86186e-06	9.3361e-06
-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	3.61559e-06	9.6953e-06	-4.735	8.37775e-06	7.5067e-06	-4.735	6.9899e-06	7.3922e-06	-4.735	1.00743e-06	7.604e-06	-4.735	-1.2011e-06	7.4237e-06	-4.735	-4.46009e-06	8.057e-06	-4.735	-6.84946e-06	8.3186e-06	-4.735	-6.90716e-06	7.4101e-06	-4.735	-2.79059e-06	7.0283e-06	-4.735	3.00892e-06	7.8441e-06	-4.735	7.83155e-06	8.2704e-06
-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	4.6067e-06	6.6362e-06	-4.725	9.98468e-06	6.6231e-06	-4.725	9.05038e-06	8.1659e-06	-4.725	3.01223e-06	8.8427e-06	-4.725	1.02366e-06	7.6744e-06	-4.725	-2.82979e-06	6.8583e-06	-4.725	-4.00492e-06	7.5913e-06	-4.725	-5.13568e-06	7.5809e-06	-4.725	-2.60347e-06	7.2871e-06	-4.725	4.80799e-06	7.5681e-06	-4.725	8.64389e-06	7.7414e-06
-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	3.02466e-06	6.531e-06	-4.715	8.63487e-06	6.4915e-06	-4.715	6.9115e-06	8.1979e-06	-4.715	5.20049e-07	8.7521e-06	-4.715	-7.07824e-07	7.0679e-06	-4.715	-2.58682e-06	6.0686e-06	-4.715	-1.96232e-06	7.3469e-06	-4.715	-6.54102e-06	8.5221e-06	-4.715	-6.06775e-06	8.3496e-06	-4.715	3.21555e-06	6.997e-06	-4.715	2.93796e-06	6.997e-06
-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	6.95777e-08	6.5588e-06	-4.705	5.94867e-06	6.4405e-06	-4.705	5.50384e-06	8.2502e-06	-4.705	1.52548e-06	8.5403e-06	-4.705	2.45917e-07	6.9474e-06	-4.705	-3.36331e-06	6.5729e-06	-4.705	1.72076e-06	8.1811e-06	-4.705	-1.83234e-06	9.1624e-06	-4.705	-4.74164e-06	8.4219e-06	-4.705	2.07789e-06	6.9025e-06	-4.705	2.19701e-06	7.4019e-06
-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	6.1864e-06	1.7169e-05	-4.695	-4.663e-07	6.7793e-06	-4.695	4.66429e-06	6.4121e-06	-4.695	3.62811e-06	7.7396e-06	-4.695	3.02942e-06	8.4437e-06	-4.695	3.30711e-06	8.1027e-06	-4.695	-3.12578e-06	7.1214e-06	-4.695	7.09846e-07	7.8716e-06	-4.695	-5.64798e-07	8.7124e-06	-4.695	-3.46102e-06	7.5784e-06	-4.695	5.45227e-07	6.6571e-06	-4.695	1.54353e-06	7.8724e-06
