E (meV)	D1_Butanol_250K_0.098A-1	err	E (meV)	D1_Butanol_250K_0.196A-1	err	E (meV)	D1_Butanol_250K_0.294A-1	err	E (meV)	D1_Butanol_250K_0.399A-1	err	E (meV)	D1_Butanol_250K_0.497A-1	err	E (meV)	D1_Butanol_250K_0.595A-1	err	E (meV)	D1_Butanol_250K_0.693A-1	err	E (meV)	D1_Butanol_250K_0.798A-1	err	E (meV)	D1_Butanol_250K_0.896A-1	err	E (meV)	D1_Butanol_250K_0.994A-1	err	E (meV)	D1_Butanol_250K_1.099A-1	err	E (meV)	D1_Butanol_250K_1.197A-1	err	E (meV)	D1_Butanol_250K_1.295A-1	err	E (meV)	D1_Butanol_250K_1.4A-1	err	E (meV)	D1_Butanol_250K_1.498A-1	err	E (meV)	D1_Butanol_250K_1.596A-1	err	E (meV)	D1_Butanol_250K_1.694A-1	err
-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.0	0.0	-4.795	0.000329895	3.0085e-05	-4.795	0.000401756	3.0833e-05	-4.795	0.000470873	4.1265e-05	-4.795	0.000537858	5.0594e-05	-4.795	0.000611903	5.9614e-05	-4.795	0.000613357	5.9903e-05	-4.795	0.000677299	6.2767e-05	-4.795	0.000775188	6.7484e-05	-4.795	0.000925771	7.1742e-05	-4.795	0.000948742	6.8504e-05	-4.795	0.000916394	6.6258e-05
-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.0	0.0	-4.785	0.000296689	2.9793e-05	-4.785	0.000389405	3.0567e-05	-4.785	0.000466675	4.0822e-05	-4.785	0.000536627	5.0535e-05	-4.785	0.000588507	5.7508e-05	-4.785	0.000585587	5.788e-05	-4.785	0.000681004	6.2907e-05	-4.785	0.000787548	6.7698e-05	-4.785	0.000923179	7.1471e-05	-4.785	0.000936994	6.8069e-05	-4.785	0.000922164	6.6364e-05
-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.0	0.0	-4.775	0.000309125	4.7366e-05	-4.775	0.000397415	3.5957e-05	-4.775	0.000479962	4.1257e-05	-4.775	0.0005536	5.1244e-05	-4.775	0.000589369	5.7285e-05	-4.775	0.000566743	5.6729e-05	-4.775	0.000667643	6.2259e-05	-4.775	0.000802902	6.8244e-05	-4.775	0.000917224	7.1018e-05	-4.775	0.000918939	6.7287e-05	-4.775	0.000921118	6.6727e-05
-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.0	0.0	-4.765	0.000320689	4.3264e-05	-4.765	0.000411508	3.4718e-05	-4.765	0.0004935	4.1662e-05	-4.765	0.000532103	5.0094e-05	-4.765	0.000565595	5.6844e-05	-4.765	0.000578225	5.7885e-05	-4.765	0.000679147	6.2357e-05	-4.765	0.00083141	6.9084e-05	-4.765	0.000945494	7.2319e-05	-4.765	0.00093341	6.8128e-05	-4.765	0.000953065	6.8427e-05
-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.0	0.0	-4.755	0.000322263	3.8539e-05	-4.755	0.00041095	3.3317e-05	-4.755	0.000499161	4.2077e-05	-4.755	0.000530821	4.9956e-05	-4.755	0.000568778	5.7629e-05	-4.755	0.000623984	6.0538e-05	-4.755	0.000722047	6.3972e-05	-4.755	0.000850331	6.9581e-05	-4.755	0.000940299	7.2061e-05	-4.755	0.000941599	6.8413e-05	-4.755	0.000977041	6.9957e-05
-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.0	0.0	-4.745	0.000319446	3.1738e-05	-4.745	0.00041026	3.1977e-05	-4.745	0.000501189	4.255e-05	-4.745	0.000530519	5.0408e-05	-4.745	0.000565866	5.8167e-05	-4.745	0.000630995	6.121e-05	-4.745	0.000727242	6.4326e-05	-4.745	0.000872211	7.0606e-05	-4.745	0.000946703	7.225e-05	-4.745	0.00094719	6.829e-05	-4.745	0.000995453	7.0713e-05
-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.0	0.0	-4.735	0.00129377	0.38405	-4.735	0.000406655	0.025604	-4.735	0.000446734	0.0137	-4.735	0.000486282	4.1925e-05	-4.735	0.000524925	5.0279e-05	-4.735	0.000589907	5.9517e-05	-4.735	0.000661641	6.2958e-05	-4.735	0.000747358	6.545e-05	-4.735	0.000861141	7.0316e-05	-4.735	0.000936305	7.1934e-05	-4.735	0.00096419	6.8819e-05	-4.735	0.00104156	7.2527e-05
-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0	0.0	-4.725	0.0027704	0.0086124	-4.725	0.000518169	0.00058089	-4.725	0.000507638	0.00031201	-4.725	0.000480052	4.2301e-05	-4.725	0.000541522	5.1454e-05	-4.725	0.000607778	5.9207e-05	-4.725	0.00065512	6.1648e-05	-4.725	0.000747363	6.5236e-05	-4.725	0.000861618	7.0395e-05	-4.725	0.000919015	7.1352e-05	-4.725	0.000966978	6.8539e-05	-4.725	0.0010676	7.3844e-05
-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.0	0.0	-4.715	0.00207772	0.0041669	-4.715	0.000456126	0.0002798	-4.715	0.000477475	0.00015229	-4.715	0.000468961	4.1966e-05	-4.715	0.000534227	5.1139e-05	-4.715	0.0006147	5.8978e-05	-4.715	0.000653417	6.1504e-05	-4.715	0.000738881	6.503e-05	-4.715	0.000842333	6.9701e-05	-4.715	0.000932086	7.231e-05	-4.715	0.000976311	6.9298e-05	-4.715	0.00105959	7.4158e-05
-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.0	0.0	-4.705	0.00145987	0.0028217	-4.705	0.000428446	0.00019019	-4.705	0.000463189	0.00010568	-4.705	0.000466786	4.2299e-05	-4.705	0.000535928	5.0875e-05	-4.705	0.0006133	5.8307e-05	-4.705	0.000658014	6.1787e-05	-4.705	0.000744763	6.5407e-05	-4.705	0.000832855	6.9116e-05	-4.705	0.000938219	7.2485e-05	-4.705	0.000958365	6.8883e-05	-4.705	0.00102501	7.3255e-05
