E- (meV)	D1_butanol_4K_0.098A-1	E+ (meV)	D1_butanol_4K_0.098A-1	E- (meV)	D1_butanol_4K_0.196A-1	E+ (meV)	D1_butanol_4K_0.196A-1	E- (meV)	D1_butanol_4K_0.294A-1	E+ (meV)	D1_butanol_4K_0.294A-1	E- (meV)	D1_butanol_4K_0.399A-1	E+ (meV)	D1_butanol_4K_0.399A-1	E- (meV)	D1_butanol_4K_0.497A-1	E+ (meV)	D1_butanol_4K_0.497A-1	E- (meV)	D1_butanol_4K_0.595A-1	E+ (meV)	D1_butanol_4K_0.595A-1	E- (meV)	D1_butanol_4K_0.693A-1	E+ (meV)	D1_butanol_4K_0.693A-1	E- (meV)	D1_butanol_4K_0.798A-1	E+ (meV)	D1_butanol_4K_0.798A-1	E- (meV)	D1_butanol_4K_0.896A-1	E+ (meV)	D1_butanol_4K_0.896A-1	E- (meV)	D1_butanol_4K_0.994A-1	E+ (meV)	D1_butanol_4K_0.994A-1	E- (meV)	D1_butanol_4K_1.099A-1	E+ (meV)	D1_butanol_4K_1.099A-1	E- (meV)	D1_butanol_4K_1.197A-1	E+ (meV)	D1_butanol_4K_1.197A-1	E- (meV)	D1_butanol_4K_1.295A-1	E+ (meV)	D1_butanol_4K_1.295A-1	E- (meV)	D1_butanol_4K_1.4A-1	E+ (meV)	D1_butanol_4K_1.4A-1	E- (meV)	D1_butanol_4K_1.498A-1	E+ (meV)	D1_butanol_4K_1.498A-1	E- (meV)	D1_butanol_4K_1.596A-1	E+ (meV)	D1_butanol_4K_1.596A-1	E- (meV)	D1_butanol_4K_1.694A-1	E+ (meV)	D1_butanol_4K_1.694A-1
0.105	0.00022263814572517188	0.105	0.001427408941848505	0.105	0.00023617272635290424	0.105	0.0013822419498552754	0.105	0.0001749740022597614	0.105	0.0012222229281762475	0.105	9.087903687655655e-05	0.105	0.0009754090347600929	0.105	5.048908722000522e-05	0.105	0.0007746497987871172	0.105	6.624281102290452e-05	0.105	0.0006284514641740726	0.105	3.645118308223678e-05	0.105	0.0004960663919159985	0.105	8.62448582243615e-06	0.105	0.00044191797450121096	0.105	1.9274750882553952e-05	0.105	0.0004975678334763215	0.105	-9.575352201898443e-06	0.105	0.0005090794354173905	0.105	-6.622200236034246e-05	0.105	0.0005498188247434482	0.105	-4.84565507607174e-05	0.105	0.0005392196372890369	0.105	-4.620597084264754e-05	0.105	0.0005382783489262192	0.105	-5.632815455926158e-05	0.105	0.0005301260162344001	0.105	-6.0962892584106145e-05	0.105	0.0005131712761532154	0.105	-8.890501079640829e-05	0.105	0.0004580493966278889	0.105	-5.323885129050476e-05	0.105	0.000459893199862681
0.115	0.00028873818033561376	0.115	0.0014207947320546144	0.115	0.00027032221942053527	0.115	0.001466389068186737	0.115	0.0002467828341676448	0.115	0.001288378655774106	0.115	0.00017428725069509323	0.115	0.0009246132105229616	0.115	6.367864047722076e-05	0.115	0.000646891478535071	0.115	5.3335991977893135e-05	0.115	0.0005666272662455627	0.115	3.097021677304977e-05	0.115	0.0005576884235675879	0.115	-9.356644365777504e-06	0.115	0.0005117857285554473	0.115	-8.385109738067296e-07	0.115	0.00043947111513807614	0.115	3.326393826629654e-06	0.115	0.00041232573037950845	0.115	-3.583846521681485e-05	0.115	0.00041974595013392695	0.115	-8.214461636519386e-05	0.115	0.0004674845390560007	0.115	-6.0901689743370246e-05	0.115	0.0005084481447240399	0.115	-6.402128036615553e-05	0.115	0.00048008269260493906	0.115	-0.00010173344083618671	0.115	0.00043537867589807014	0.115	-0.00010651621593075129	0.115	0.000442093056828864	0.115	-1.85734707550899e-05	0.115	0.0005168317631758553
0.125	0.00028589486956511617	0.125	0.0015201800244953852	0.125	0.0003666325540922834	0.125	0.001588961175910437	0.125	0.00039564939749301206	0.125	0.0013203248172370065	0.125	0.00028563944444100187	0.125	0.0010159409887881227	0.125	7.922422200412205e-05	0.125	0.0007801940223146733	0.125	2.191355309431084e-05	0.125	0.00046163638421117093	0.125	2.7798355698434957e-05	0.125	0.0004110185021222833	0.125	4.176708883010615e-05	0.125	0.00048613214437406133	0.125	-6.241463965602458e-05	0.125	0.0003939025256823498	0.125	-0.0001035264119849084	0.125	0.0003453295402873801	0.125	-0.00010781151175526494	0.125	0.0004331158086862327	0.125	-0.00010241448874299785	0.125	0.00044908989187886146	0.125	-6.263353624088383e-05	0.125	0.0004672598501194452	0.125	-3.920281283946817e-05	0.125	0.0004872769042989744	0.125	-2.7651829565408093e-05	0.125	0.0004955606470277474	0.125	-3.174728304737653e-05	0.125	0.00048260517535665443	0.125	-1.7308622617469216e-05	0.125	0.000488267819192242
0.135	0.00022398307947859645	0.135	0.0014207644541267797	0.135	0.00031749863586776864	0.135	0.001559170765286205	0.135	0.00031147854086080245	0.135	0.001326471018749171	0.135	0.0002464232584900522	0.135	0.0009399941741024724	0.135	0.0001567062208918654	0.135	0.0007537559856557852	0.135	6.159158147319711e-05	0.135	0.0007252806305757623	0.135	1.6061017041852448e-05	0.135	0.0005946615196668589	0.135	6.0032411507920306e-05	0.135	0.000526859225316682	0.135	1.883339354405975e-05	0.135	0.000497665114402319	0.135	-2.8497777237254393e-05	0.135	0.0005282152915650407	0.135	2.464594061708546e-06	0.135	0.0005886050345981762	0.135	1.1041098239621333e-05	0.135	0.0005409910238102751	0.135	-3.7040227287544584e-05	0.135	0.0005332689798960108	0.135	-0.00010001897601153374	0.135	0.00044845171917284773	0.135	-0.00012105406454713292	0.135	0.000418656948283611	0.135	-0.00010309740287786802	0.135	0.0003922727043703512	0.135	5.091129733411838e-06	0.135	0.0004664175608280914
0.145	0.00021733147003983602	0.145	0.0014694830934783127	0.145	0.000313877048917602	0.145	0.0016671603722480358	0.145	0.0002705914811093958	0.145	0.0014810045589730772	0.145	0.0001475031381623709	0.145	0.001113105179040537	0.145	0.00016189370826315651	0.145	0.0008340192532079475	0.145	0.00011976610250578242	0.145	0.0007674568990419867	0.145	-1.5574129553365713e-05	0.145	0.0006450726130383303	0.145	-3.828602393663667e-05	0.145	0.0006076041168244576	0.145	-2.9674420518026143e-05	0.145	0.0005523744400950604	0.145	-3.9055096064892245e-05	0.145	0.0005698076687837677	0.145	-4.544623167462132e-05	0.145	0.0005754540499073255	0.145	-1.8739171060125173e-05	0.145	0.0005072476214516621	0.145	-1.9885960945881187e-05	0.145	0.0005315397899920279	0.145	9.482588693876768e-06	0.145	0.0005259689240917504	0.145	2.8826978937692405e-07	0.145	0.0004964759142451806	0.145	-2.9591450762681333e-05	0.145	0.0003987861850430835	0.145	0.00020341390969278846	0.145	0.0004460500845053139
0.155	0.00014542842977948085	0.155	0.0015451877914700084	0.155	0.00026270984734858764	0.155	0.0017037706984969062	0.155	0.0003215700533099616	0.155	0.0014183715278940428	0.155	0.00018422243751434658	0.155	0.0010549745525457715	0.155	2.1454533478189804e-05	0.155	0.0008753849285405579	0.155	2.593705648210945e-05	0.155	0.0006477072964603561	0.155	4.646347633900935e-05	0.155	0.0005842126938664182	0.155	4.710029464152808e-05	0.155	0.0006185108839390673	0.155	3.419625094287126e-05	0.155	0.0005902042105001077	0.155	-1.5681053124926097e-05	0.155	0.0005001881015006812	0.155	-8.028477151944522e-05	0.155	0.0005275572493592838	0.155	-6.127351543329996e-05	0.155	0.0005765054143987741	0.155	-3.370766681665311e-05	0.155	0.0005569618744791227	0.155	-2.7950793685788422e-05	0.155	0.000566368987948045	0.155	2.668054630981199e-05	0.155	0.0004968191533897137	0.155	4.595901635034746e-05	0.155	0.0004873699422915763	0.155	3.0154327716884742e-06	0.155	0.0006382250899231043
0.165	0.00027146945805724316	0.165	0.0014085476855682196	0.165	0.00027916532961059744	0.165	0.0016332331681740253	0.165	0.0003129828022785073	0.165	0.0014469812003844672	0.165	0.0002922598839904777	0.165	0.0011994459415570614	0.165	0.0001989488879984544	0.165	0.0009769462455992317	0.165	0.0001990337547524262	0.165	0.0006687814001060085	0.165	7.375538132907886e-05	0.165	0.0005649392057834529	0.165	7.56980584790885e-05	0.165	0.0005802958807022583	0.165	0.00012367072707254015	0.165	0.0005166104949883952	0.165	4.6054487074702074e-05	0.165	0.0005438103332103416	0.165	1.2914501846169556e-05	0.165	0.0005630569674179184	0.165	-6.940923913078984e-06	0.165	0.0005014199350745481	0.165	-5.339198947151168e-05	0.165	0.0005261782412452011	0.165	-9.860243810216669e-05	0.165	0.0005157978460432755	0.165	-6.670642589577348e-05	0.165	0.000508957254040533	0.165	-2.8965216009570702e-05	0.165	0.00046398191521607207	0.165	6.691666399084005e-05	0.165	0.0003926600195620404
0.175	0.000262005866633921	0.175	0.0014441824636913978	0.175	0.0004551142252116595	0.175	0.0016180717029779604	0.175	0.00034974914457583763	0.175	0.0014789402998402403	0.175	0.00020094590469098536	0.175	0.00124254949207473	0.175	0.00015853679222191033	0.175	0.000976099847455491	0.175	0.00014697664028957605	0.175	0.0007239022914622345	0.175	9.44701101943271e-05	0.175	0.0006411038476675828	0.175	6.760413423581845e-05	0.175	0.0006689726531756256	0.175	4.536990780849438e-05	0.175	0.0004955549397698876	0.175	-5.249447744717999e-06	0.175	0.000462022820764833	0.175	-3.410504575384925e-05	0.175	0.000501273285465192	0.175	-9.659179186301546e-05	0.175	0.0004560380692005217	0.175	-8.226410256891904e-05	0.175	0.0003968784560360651	0.175	-6.60485114178164e-05	0.175	0.00041910270902378665	0.175	-8.591273006537644e-05	0.175	0.00037697180903552616	0.175	-6.709293571427355e-05	0.175	0.0003892314819369639	0.175	9.519326907846378e-05	0.175	0.0003960529730616773
0.185	0.00025822428467400733	0.185	0.0012940080150623929	0.185	0.0005841200785277595	0.185	0.0015905642674976807	0.185	0.0006018820922322609	0.185	0.001411049881297132	0.185	0.0003292344007769755	0.185	0.0011069518847693948	0.185	0.00012060538975014381	0.185	0.00096180462619013	0.185	8.849093697837434e-05	0.185	0.0007126882927363769	0.185	1.2779165188481704e-05	0.185	0.0005493599507342422	0.185	2.2434054876805915e-05	0.185	0.0005355003649643467	0.185	2.6576739389893686e-05	0.185	0.0004606753032471154	0.185	-3.735178079811993e-05	0.185	0.00040235596173221705	0.185	-4.241570657986182e-05	0.185	0.0005226493896068149	0.185	-1.5227662906272066e-05	0.185	0.0005209127007855261	0.185	-2.2058082210792933e-05	0.185	0.00040122339531833365	0.185	-1.3712368310817956e-05	0.185	0.0003766213910167538	0.185	-5.019247365563457e-05	0.185	0.000329700782441585	0.185	-8.854516702398552e-05	0.185	0.0002591476359767204	0.185	-0.00013357038769163139	0.185	0.0003481871890681977
0.195	0.00021759683148355588	0.195	0.0012002569451989885	0.195	0.0004066726167926314	0.195	0.0014561081075521874	0.195	0.00036841576613141566	0.195	0.001231269042778504	0.195	0.000360502945508022	0.195	0.0009095416048683987	0.195	0.000300290467221582	0.195	0.0009858733333163677	0.195	6.112540413305322e-05	0.195	0.0007761982721385502	0.195	-4.9590036393700626e-05	0.195	0.00048679410505121195	0.195	-1.974785268710967e-05	0.195	0.00044696891444019317	0.195	2.952239677587024e-05	0.195	0.000331866634729038	0.195	5.8735067924198403e-05	0.195	0.00030912741594622904	0.195	-9.516821776460123e-06	0.195	0.00031968738264653667	0.195	2.580329938712811e-05	0.195	0.00025152944847482104	0.195	6.467601651607223e-05	0.195	0.0003193358361972591	0.195	1.9297292713648962e-05	0.195	0.000327318248043597	0.195	-3.838685894931986e-05	0.195	0.00023238984816106298	0.195	-9.817131362547602e-05	0.195	0.00024084325081010098	0.195	-0.00013881395976489592	0.195	0.0003008613237605127
