E- (meV)	D1_Butanol_250K_0.098A-1	E+ (meV)	D1_Butanol_250K_0.098A-1	E- (meV)	D1_Butanol_250K_0.196A-1	E+ (meV)	D1_Butanol_250K_0.196A-1	E- (meV)	D1_Butanol_250K_0.294A-1	E+ (meV)	D1_Butanol_250K_0.294A-1	E- (meV)	D1_Butanol_250K_0.399A-1	E+ (meV)	D1_Butanol_250K_0.399A-1	E- (meV)	D1_Butanol_250K_0.497A-1	E+ (meV)	D1_Butanol_250K_0.497A-1	E- (meV)	D1_Butanol_250K_0.595A-1	E+ (meV)	D1_Butanol_250K_0.595A-1	E- (meV)	D1_Butanol_250K_0.693A-1	E+ (meV)	D1_Butanol_250K_0.693A-1	E- (meV)	D1_Butanol_250K_0.798A-1	E+ (meV)	D1_Butanol_250K_0.798A-1	E- (meV)	D1_Butanol_250K_0.896A-1	E+ (meV)	D1_Butanol_250K_0.896A-1	E- (meV)	D1_Butanol_250K_0.994A-1	E+ (meV)	D1_Butanol_250K_0.994A-1	E- (meV)	D1_Butanol_250K_1.099A-1	E+ (meV)	D1_Butanol_250K_1.099A-1	E- (meV)	D1_Butanol_250K_1.197A-1	E+ (meV)	D1_Butanol_250K_1.197A-1	E- (meV)	D1_Butanol_250K_1.295A-1	E+ (meV)	D1_Butanol_250K_1.295A-1	E- (meV)	D1_Butanol_250K_1.4A-1	E+ (meV)	D1_Butanol_250K_1.4A-1	E- (meV)	D1_Butanol_250K_1.498A-1	E+ (meV)	D1_Butanol_250K_1.498A-1	E- (meV)	D1_Butanol_250K_1.596A-1	E+ (meV)	D1_Butanol_250K_1.596A-1	E- (meV)	D1_Butanol_250K_1.694A-1	E+ (meV)	D1_Butanol_250K_1.694A-1
0.105	7.346913700178203e-05	0.105	8.559474562034015e-05	0.105	0.00012993691290851924	0.105	0.00015330757846838811	0.105	0.00020452930259613365	0.105	0.00023667147642460144	0.105	0.0003036696291579176	0.105	0.00032531578545571133	0.105	0.00039864418940465773	0.105	0.00040488090344569156	0.105	0.00045793038097376913	0.105	0.0004710212216273797	0.105	0.0005180469629542433	0.105	0.0005382872739607019	0.105	0.0005938642168715574	0.105	0.0006275960258085835	0.105	0.000597010797912766	0.105	0.0006465456294519641	0.105	0.0006178227453945933	0.105	0.0006521086196558326	0.105	0.0006481665310549108	0.105	0.0006745179083106799	0.105	0.0006304950249439676	0.105	0.0006566604348144069	0.105	0.0006224858250059062	0.105	0.0006515984497689319	0.105	0.0006194574326184408	0.105	0.0006395483592367193	0.105	0.0005901113433858235	0.105	0.0005917038940648984	0.105	0.0005346716552748918	0.105	0.0005260050103063069	0.105	0.0005030078404948479	0.105	0.0004845819649085285
0.115	6.987249857594023e-05	0.115	8.754619689903444e-05	0.115	0.0001286621234537708	0.115	0.00015121472901977472	0.115	0.00020096336727247013	0.115	0.00023261836015143502	0.115	0.0002915065998166754	0.115	0.00033354938280512965	0.115	0.0003787911032827396	0.115	0.0004081145048007385	0.115	0.000456708021767212	0.115	0.000462214442804192	0.115	0.0005169776948053005	0.115	0.0005415145219656877	0.115	0.0005765461861996403	0.115	0.000626646743704876	0.115	0.0005957942108423041	0.115	0.0006321042376053667	0.115	0.00062376412801764	0.115	0.0006418400855964042	0.115	0.0006434812885802219	0.115	0.0006758678862110168	0.115	0.0006244787615874079	0.115	0.000652490812276859	0.115	0.000635228531967468	0.115	0.000645492910199123	0.115	0.0006408043553024094	0.115	0.0006508115833844003	0.115	0.0006036316392392166	0.115	0.0006072720549695762	0.115	0.0005469670823742626	0.115	0.0005448947227541926	0.115	0.0005105443111866378	0.115	0.0004993264048507706
0.125	7.25704409831744e-05	0.125	8.487056737920154e-05	0.125	0.00012616066735247574	0.125	0.00014444058191483294	0.125	0.00019227378057021067	0.125	0.0002213273554692296	0.125	0.000289444479487714	0.125	0.00031704891030767343	0.125	0.0003749772902463395	0.125	0.00039324628510102914	0.125	0.00043538242699557556	0.125	0.0004516588803615989	0.125	0.0005026229492028769	0.125	0.0005321729492163104	0.125	0.0005759913697935522	0.125	0.0006092045819356293	0.125	0.0005849693259274272	0.125	0.0006187467477554684	0.125	0.0006152157694694679	0.125	0.0006297647685554427	0.125	0.0006481294575644152	0.125	0.0006572225778964543	0.125	0.0006334184795539708	0.125	0.0006441016455053268	0.125	0.0006388260939388216	0.125	0.0006463099753093468	0.125	0.000637815136956123	0.125	0.0006574552249869189	0.125	0.0006147038925162027	0.125	0.000615536944929214	0.125	0.0005672090237811034	0.125	0.0005554013071548904	0.125	0.0005248658309542223	0.125	0.0005166764719248916
0.135	6.690940003634768e-05	0.135	8.385056681463393e-05	0.135	0.00012118514793085359	0.135	0.00014313175162850654	0.135	0.0001914472360139092	0.135	0.0002210408353043874	0.135	0.0002818236750200576	0.135	0.00031013462606676917	0.135	0.0003598654528546602	0.135	0.0003808848849058067	0.135	0.0004231117197945606	0.135	0.0004459438799620584	0.135	0.0004922153659808154	0.135	0.0005176695036631802	0.135	0.0005777674652159188	0.135	0.0005920013336758674	0.135	0.0005925886490473043	0.135	0.0006015469567929259	0.135	0.0006117860811625473	0.135	0.0006284784095140185	0.135	0.0006493357133237683	0.135	0.0006796840835210687	0.135	0.0006345105798098162	0.135	0.0006533806323208353	0.135	0.0006283036536563126	0.135	0.0006396725366233322	0.135	0.0006434862334425474	0.135	0.0006419196045651564	0.135	0.0006280548236546131	0.135	0.0006218098183643957	0.135	0.0005776015785481192	0.135	0.000569450191562767	0.135	0.0005393982739221162	0.135	0.0005229368664193861
0.145	6.98318067417794e-05	0.145	8.112849281194801e-05	0.145	0.00012028305092659873	0.145	0.0001442358777658676	0.145	0.00018954753682635302	0.145	0.00021653821299765392	0.145	0.000274480176871042	0.145	0.0003019737830414281	0.145	0.0003559376054750536	0.145	0.0003800777542548259	0.145	0.0004129433784906599	0.145	0.0004351859202261807	0.145	0.00046281202617876976	0.145	0.0004975097787514904	0.145	0.0005534263611185347	0.145	0.000580199423737495	0.145	0.0005845208048759028	0.145	0.0006076607817020351	0.145	0.0006022575372593361	0.145	0.0006293415775534041	0.145	0.0006341581961250422	0.145	0.0006568113650653203	0.145	0.0006172425301808898	0.145	0.000637511916347704	0.145	0.0006144101692081765	0.145	0.0006374697686108234	0.145	0.0006460201663111397	0.145	0.0006388627513147265	0.145	0.0006441064662381903	0.145	0.0006155824488487396	0.145	0.0005892923253460394	0.145	0.0005690934950694629	0.145	0.000549000664497501	0.145	0.0005301468788049654
0.155	7.357264817200083e-05	0.155	8.148848623095608e-05	0.155	0.00012425240856304542	0.155	0.00013606991875793386	0.155	0.00019806392602331343	0.155	0.000209579079587716	0.155	0.00028215839204687784	0.155	0.00030258555053010725	0.155	0.00034797788301622385	0.155	0.0003699646687741784	0.155	0.00040307888028127346	0.155	0.00043076285365229805	0.155	0.00045375637220804204	0.155	0.0004949956461221618	0.155	0.0005296274283845281	0.155	0.0005719308561772299	0.155	0.0005601042459331465	0.155	0.0006023265703137405	0.155	0.0005909712393372442	0.155	0.0006242404928499176	0.155	0.0006368758824272212	0.155	0.0006503119797233799	0.155	0.0006296508237080288	0.155	0.0006414540704392294	0.155	0.0006305400617042371	0.155	0.000635821313988769	0.155	0.0006452329048201583	0.155	0.0006559019443415497	0.155	0.000627200882289904	0.155	0.0006369316494266247	0.155	0.0005750987947977813	0.155	0.0005789081770422944	0.155	0.0005498076865841939	0.155	0.0005345780909909505
0.165	7.191908837257132e-05	0.165	8.582205240317058e-05	0.165	0.0001225903378002157	0.165	0.00013685502163082573	0.165	0.00019590865466245913	0.165	0.00020059445905942788	0.165	0.000278795008493696	0.165	0.00028787122002330376	0.165	0.0003432228019228565	0.165	0.0003591612876003285	0.165	0.00039368004885751806	0.165	0.000428385184837383	0.165	0.00046433710221221666	0.165	0.0004985175258782064	0.165	0.0005431025795956209	0.165	0.0005716220841134185	0.165	0.0005670172374175492	0.165	0.0005951697145308986	0.165	0.0005886300399819988	0.165	0.0006184153293302392	0.165	0.0006346019299249099	0.165	0.000653238209491594	0.165	0.0006329981189165512	0.165	0.0006424159831749284	0.165	0.0006371984613013944	0.165	0.0006517784673372531	0.165	0.0006609681964418446	0.165	0.0006658821173144979	0.165	0.0006421330786057273	0.165	0.0006374231376782254	0.165	0.0005857726477788536	0.165	0.0005854620696621288	0.165	0.0005656477180775802	0.165	0.0005498410053671195
0.175	6.511110459907503e-05	0.175	8.581736864146074e-05	0.175	0.00012135746859891352	0.175	0.00013832261178391898	0.175	0.0001909547530572623	0.175	0.00020435822131384155	0.175	0.0002738701597663313	0.175	0.0002865738463265476	0.175	0.00034240303988749567	0.175	0.0003555892626664003	0.175	0.0004012578863506313	0.175	0.00040974122777418925	0.175	0.000468066298202838	0.175	0.0004799867929506218	0.175	0.0005448166667913836	0.175	0.0005780657463695869	0.175	0.000559721914815941	0.175	0.0006017435698439209	0.175	0.0005774739447822697	0.175	0.0006162206933421827	0.175	0.0006290901242917566	0.175	0.0006447708211961109	0.175	0.0006355062736906721	0.175	0.0006454519779899195	0.175	0.0006417943050904081	0.175	0.0006546170951484048	0.175	0.0006647709870632819	0.175	0.0006497956233653637	0.175	0.0006627364732363094	0.175	0.000636088613704878	0.175	0.0006143744909059849	0.175	0.0006013267425521873	0.175	0.0005806230852021049	0.175	0.0005694597877731833
0.185	7.120411247376677e-05	0.185	7.648164083027475e-05	0.185	0.00011953619699238095	0.185	0.00013172100797878778	0.185	0.00018235603964997092	0.185	0.00020368653680398176	0.185	0.0002693262099877974	0.185	0.00028804048184677715	0.185	0.00035304698469125945	0.185	0.0003630645671369872	0.185	0.00041455601470155053	0.185	0.0004127170857557792	0.185	0.0004665685620148956	0.185	0.0004709091713886991	0.185	0.0005382432990377235	0.185	0.0005538737914677615	0.185	0.0005515654689152939	0.185	0.000577703454563807	0.185	0.0005824608732500375	0.185	0.0006071876595172727	0.185	0.0006537264893349942	0.185	0.0006446231442322417	0.185	0.0006456334811136595	0.185	0.0006366960406592025	0.185	0.0006411765013600286	0.185	0.0006447843188220018	0.185	0.000660264296110381	0.185	0.0006630588310576458	0.185	0.000652835093384268	0.185	0.0006434385109975043	0.185	0.0006016543349975884	0.185	0.0006006117362550566	0.185	0.0005778006877325632	0.185	0.0005699214081215521
0.195	6.946963438216321e-05	0.195	8.102398613757594e-05	0.195	0.00011612388870981171	0.195	0.0001321817288523608	0.195	0.00017828395190574994	0.195	0.00019199913937953945	0.195	0.00025874036681722593	0.195	0.0002683197689513633	0.195	0.0003343795317976966	0.195	0.00035427895330544974	0.195	0.0003904274806213789	0.195	0.00041970415760738306	0.195	0.00045023747768932953	0.195	0.0004794224905060324	0.195	0.0005292262081756688	0.195	0.0005621608026961028	0.195	0.0005657926315430792	0.195	0.0005799891142525918	0.195	0.0006032702875527989	0.195	0.000609066982831229	0.195	0.0006468951932372837	0.195	0.0006460738924815912	0.195	0.0006440386645780062	0.195	0.0006268783096513987	0.195	0.0006456354640985423	0.195	0.0006510051275929605	0.195	0.0006702730237848102	0.195	0.0006765813097004358	0.195	0.0006548591951393492	0.195	0.0006452869330321304	0.195	0.0006031731655783835	0.195	0.0005911027933841854	0.195	0.0005880307071555539	0.195	0.0005713212371509771
