E (meV)	but_OD_250K_0.29A-1	err	E (meV)	but_OD_250K_0.44A-1	err	E (meV)	but_OD_250K_0.59A-1	err	E (meV)	but_OD_250K_0.71A-1	err	E (meV)	but_OD_250K_0.84A-1	err	E (meV)	but_OD_250K_0.95A-1	err	E (meV)	but_OD_250K_1.07A-1	err	E (meV)	but_OD_250K_1.18A-1	err	E (meV)	but_OD_250K_1.29A-1	err	E (meV)	but_OD_250K_1.39A-1	err	E (meV)	but_OD_250K_1.48A-1	err	E (meV)	but_OD_250K_1.57A-1	err	E (meV)	but_OD_250K_1.65A-1	err	E (meV)	but_OD_250K_1.72A-1	err	E (meV)	but_OD_250K_1.79A-1	err	E (meV)	but_OD_250K_1.84A-1	err	E (meV)	but_OD_250K_1.89A-1	err	E (meV)	but_OD_250K_1.93A-1	err
-0.130619	0.4389001	0.1771648	-0.130619	0.8404984	0.2177965	-0.130619	1.595388	0.4591896	-0.130619	1.237831	0.2755531	-0.130619	1.203961	0.2433509	-0.130619	1.789359	0.2772254	-0.130619	1.879354	0.2719257	-0.130619	1.690178	0.2520005	-0.130619	1.560863	0.2474851	-0.130619	1.863574	0.2913114	-0.130619	1.76098	0.2716229	-0.130619	1.348658	0.2239467	-0.130619	1.743417	0.2709921	-0.130619	1.228917	0.2144376	-0.130619	1.43198	0.2432945	-0.130619	1.375422	0.2874504	-0.130619	1.230952	0.4333999	-0.130619	1.123512	0.9289134
-0.130019	0.4132676	0.1735339	-0.130019	0.7887774	0.2155111	-0.130019	0.9267627	0.3500585	-0.130019	1.089011	0.2590013	-0.130019	1.345034	0.2572762	-0.130019	1.651567	0.2663198	-0.130019	1.638075	0.2535965	-0.130019	1.552733	0.2409062	-0.130019	1.799911	0.2670882	-0.130019	1.929412	0.296448	-0.130019	1.682323	0.265773	-0.130019	1.662494	0.2485495	-0.130019	1.347276	0.2380575	-0.130019	1.436093	0.233374	-0.130019	1.187197	0.2214112	-0.130019	1.682088	0.3186513	-0.130019	1.571644	0.4994217	-0.130019	1.010622	0.87319
-0.129419	0.1711841	0.1182909	-0.129419	0.6369599	0.1952555	-0.129419	0.9076355	0.3558741	-0.129419	0.8910177	0.2326657	-0.129419	1.18998	0.2522303	-0.129419	1.613915	0.2626805	-0.129419	1.719676	0.2598754	-0.129419	1.780207	0.2577748	-0.129419	1.490387	0.2482324	-0.129419	2.061442	0.3046591	-0.129419	1.940935	0.2857461	-0.129419	1.170136	0.2082043	-0.129419	1.844355	0.27842	-0.129419	1.617061	0.2506439	-0.129419	1.497675	0.2481875	-0.129419	1.427601	0.293094	-0.129419	2.468195	0.6140611	-0.129419	2.493933	1.387683
-0.128819	0.2337289	0.1331993	-0.128819	0.7620485	0.2120962	-0.128819	0.8425781	0.3333678	-0.128819	1.112837	0.2591134	-0.128819	1.053374	0.2319438	-0.128819	1.452078	0.2490113	-0.128819	1.729608	0.2600705	-0.128819	1.71199	0.2523926	-0.128819	1.718963	0.2590383	-0.128819	1.696048	0.2764745	-0.128819	1.492348	0.2500064	-0.128819	1.589325	0.2421457	-0.128819	1.789633	0.2739632	-0.128819	1.653091	0.2482932	-0.128819	1.542827	0.2520631	-0.128819	1.229681	0.2714834	-0.128819	1.803889	0.5240059	-0.128819	1.370793	1.024291
-0.128219	0.5930609	0.1893346	-0.128219	0.5962016	0.1921733	-0.128219	1.248479	0.4051572	-0.128219	1.605331	0.3113534	-0.128219	1.499697	0.271147	-0.128219	1.516479	0.2543167	-0.128219	2.036161	0.287011	-0.128219	1.675773	0.2495155	-0.128219	1.602398	0.2494459	-0.128219	1.822345	0.2884936	-0.128219	1.473784	0.2513702	-0.128219	1.535449	0.238893	-0.128219	1.654942	0.2628785	-0.128219	1.899219	0.2660919	-0.128219	1.277058	0.2282173	-0.128219	1.564515	0.3058554	-0.128219	1.259105	0.4367635	-0.128219	1.332131	1.006341
-0.127619	0.660465	0.1911723	-0.127619	1.073729	0.2500381	-0.127619	1.834404	0.4906708	-0.127619	1.171046	0.2655906	-0.127619	1.461753	0.2667321	-0.127619	1.647845	0.2668511	-0.127619	1.841868	0.2686785	-0.127619	1.670846	0.2487391	-0.127619	1.603244	0.2491879	-0.127619	1.821312	0.2855315	-0.127619	1.74714	0.2741126	-0.127619	1.547904	0.2394929	-0.127619	1.600899	0.2586182	-0.127619	1.537289	0.2442221	-0.127619	1.268855	0.2275309	-0.127619	1.421053	0.2914286	-0.127619	1.024331	0.3937013	-0.127619	1.077603	0.9067929
-0.127019	0.3990597	0.1534619	-0.127019	1.11926	0.2451481	-0.127019	1.230708	0.4003582	-0.127019	1.125618	0.2601709	-0.127019	1.229354	0.2442092	-0.127019	1.289725	0.2394985	-0.127019	1.652033	0.2534359	-0.127019	1.872402	0.2630487	-0.127019	1.643147	0.2521438	-0.127019	1.879508	0.2911422	-0.127019	1.689641	0.2684609	-0.127019	1.403835	0.2314683	-0.127019	1.558725	0.2549777	-0.127019	1.669194	0.2477981	-0.127019	1.205456	0.2213622	-0.127019	1.326856	0.2811691	-0.127019	1.284388	0.4408128	-0.127019	1.55665	1.086958
-0.126419	0.379605	0.1576605	-0.126419	0.8993934	0.2155181	-0.126419	1.621374	0.4602261	-0.126419	1.253866	0.2772793	-0.126419	1.30081	0.2521029	-0.126419	1.401506	0.2444963	-0.126419	1.823339	0.2664847	-0.126419	1.632723	0.2467798	-0.126419	1.756602	0.2614624	-0.126419	1.575607	0.2661235	-0.126419	1.507476	0.2547572	-0.126419	1.38173	0.2304367	-0.126419	1.129645	0.218775	-0.126419	1.607583	0.2433047	-0.126419	1.348127	0.2340591	-0.126419	1.149559	0.2618285	-0.126419	1.579337	0.4887666	-0.126419	1.189416	0.9462867
-0.125819	0.5403801	0.1750987	-0.125819	0.9263649	0.2335542	-0.125819	1.413494	0.4299923	-0.125819	1.307654	0.2805648	-0.125819	1.288065	0.2584792	-0.125819	1.498757	0.2552201	-0.125819	1.732983	0.2596411	-0.125819	1.453831	0.2362108	-0.125819	1.690078	0.25616	-0.125819	1.59211	0.2663199	-0.125819	1.570971	0.2605314	-0.125819	1.926881	0.2674075	-0.125819	1.643734	0.2616372	-0.125819	1.509413	0.2386203	-0.125819	1.506744	0.2470491	-0.125819	1.380163	0.2863041	-0.125819	1.57215	0.4861166	-0.125819	1.323472	1.041717
-0.125219	0.4437034	0.1541373	-0.125219	0.5665405	0.2008199	-0.125219	0.8447782	0.339922	-0.125219	1.145339	0.2618678	-0.125219	1.65498	0.2847468	-0.125219	1.512494	0.2569965	-0.125219	1.73898	0.2597174	-0.125219	1.404125	0.2291752	-0.125219	1.732627	0.2588131	-0.125219	1.810654	0.2847672	-0.125219	1.573279	0.2569952	-0.125219	1.714728	0.2541974	-0.125219	1.396598	0.241225	-0.125219	1.525477	0.239723	-0.125219	1.32067	0.2312699	-0.125219	1.557014	0.3036697	-0.125219	1.403669	0.4618045	-0.125219	2.288247	1.374102
