# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,0.7,0.7999999999999999,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-1.766666671e+00 1.197274723e-04 8.626912952e-04
-1.751626020e+00 1.245369384e-03 7.938016255e-04
-1.736585370e+00 -7.323719497e-04 4.677043774e-04
-1.721544720e+00 5.912429186e-04 1.055839452e-03
-1.706504069e+00 7.837582864e-04 7.611906976e-04
-1.691463419e+00 8.056744007e-04 9.253324775e-04
-1.676422768e+00 -3.325011305e-04 7.256247082e-04
-1.661382118e+00 -1.058627202e-04 2.889509029e-04
-1.646341468e+00 0.000000000e+00 0.000000000e+00
-1.631300817e+00 0.000000000e+00 0.000000000e+00
-1.616260167e+00 6.886809392e-04 9.444187186e-04
-1.601219517e+00 -1.427013265e-03 1.310634989e-03
-1.586178866e+00 4.385340254e-04 2.025334683e-03
-1.571138216e+00 8.915375070e-04 7.613015132e-04
-1.556097566e+00 -3.037544721e-04 4.029728407e-04
-1.541056915e+00 -3.252353887e-04 3.177441283e-04
-1.526016265e+00 -2.784405109e-03 1.240563167e-03
-1.510975615e+00 -3.512823289e-03 1.584103560e-03
-1.495934964e+00 -1.076664152e-04 7.226624589e-04
-1.480894314e+00 4.059671619e-03 1.774152952e-03
-1.465853663e+00 4.362722005e-04 6.615111524e-04
-1.450813013e+00 -1.205985667e-03 7.515951310e-04
-1.435772363e+00 2.189304004e-03 1.410940726e-03
-1.420731712e+00 0.000000000e+00 0.000000000e+00
-1.405691062e+00 -2.340266724e-03 1.410725637e-03
-1.390650412e+00 1.345905813e-03 1.313367565e-03
-1.375609761e+00 0.000000000e+00 0.000000000e+00
-1.360569111e+00 0.000000000e+00 0.000000000e+00
-1.345528461e+00 -1.159714050e-03 6.942203186e-04
-1.330487810e+00 -9.998970783e-04 1.266355517e-03
-1.315447160e+00 2.559695316e-03 1.881575072e-03
-1.300406510e+00 8.691819889e-04 1.045411193e-03
-1.285365859e+00 3.356633716e-03 1.845856228e-03
-1.270325209e+00 -1.864316132e-03 2.081036180e-03
-1.255284558e+00 -3.242039017e-03 1.377425073e-03
-1.240243908e+00 1.114876003e-03 1.536565137e-03
-1.225203258e+00 -2.701901793e-04 4.337481822e-04
-1.210162607e+00 2.235790210e-04 1.646204009e-03
-1.195121957e+00 2.941244741e-03 2.865286673e-03
-1.180081307e+00 0.000000000e+00 0.000000000e+00
-1.165040656e+00 -5.389167624e-03 2.662552741e-03
-1.150000006e+00 3.760438091e-03 2.796774589e-03
-1.134959356e+00 -1.186692457e-03 1.125512237e-03
-1.119918705e+00 0.000000000e+00 0.000000000e+00
-1.104878055e+00 0.000000000e+00 0.000000000e+00
-1.089837405e+00 6.197122123e-04 9.710497389e-04
-1.074796754e+00 5.848941686e-03 2.969845452e-03
-1.059756104e+00 0.000000000e+00 0.000000000e+00
-1.044715453e+00 3.634982602e-06 7.305142887e-05
-1.029674803e+00 3.296579935e-03 2.134596831e-03
-1.014634153e+00 -2.513491113e-03 1.313107117e-03
-9.995935024e-01 0.000000000e+00 0.000000000e+00
-9.845528520e-01 0.000000000e+00 0.000000000e+00
-9.695122017e-01 -3.462734465e-03 2.097469942e-03
-9.544715513e-01 0.000000000e+00 0.000000000e+00
-9.394309009e-01 0.000000000e+00 0.000000000e+00
-9.243902506e-01 -6.481176871e-03 2.670147217e-03
-9.093496002e-01 -4.790783377e-03 2.337018953e-03
-8.943089499e-01 -6.532560902e-04 8.966018081e-04
-8.792682995e-01 -1.657010330e-03 2.399858587e-03
-8.642276492e-01 -9.940124689e-03 5.435724958e-03
-8.491869988e-01 -7.100963660e-04 8.457725296e-04
-8.341463484e-01 3.405142099e-03 4.077987641e-03
-8.191056981e-01 -7.146798828e-04 1.459359380e-03
-8.040650477e-01 -3.466420495e-03 2.262135462e-03
-7.890243974e-01 -1.525387701e-03 3.561858572e-03
-7.739837470e-01 -1.758966116e-03 1.274248383e-03
-7.589430967e-01 0.000000000e+00 0.000000000e+00
-7.439024463e-01 -2.816314947e-03 1.713481141e-03
-7.288617959e-01 -4.196587306e-03 2.766622565e-03
